FALSE,Assigned,Customer,,FORMULA, Current , 1 - 30 , 31 - 60 , 61 - 90 , > 90 , TOTAL ,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Upcoming Payment ,Action Item / Follow-up Items,Mgt. Note Date,Local Management Notes,Days since contact,As Of Date,CPR Status,# Of Jobs In Progress,"# Of Jobs Completed, Pending Payment",CPR Notes,Company
TRUE,Sylvia,Fresno,DON PICKETT & ASSOCIATES,, DON PICKETT & ASSOCIATES ," $ 6,825.04 "," $ 18,236.67 ", $ -   , $ -   , $ -   ," $ 25,061.71 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46155,"$28,946.00, payment/Check should arrive at our bank on the 19th, account paying in full, per Victoria, (fresno account)",,,,8,,,,,,TCS
TRUE,Sylvia,Fresno,KLASSEN CORPORATION,, KLASSEN CORPORATION ," $ 3,038.00 "," $ 2,744.00 "," $ 8,239.80 "," $ 12,124.18 "," $ (3,373.65)"," $ 22,772.33 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46143,following up again by the email thread regarding payment status on those past due invocies. (fresno account),,,,20,,,,,,TCS
TRUE,Sylvia,Fresno,"WESTEC SYSTEMS, INC.",," WESTEC SYSTEMS, INC. "," $ 18,368.56 "," $ 1,190.00 ", $ -   , $ -   , $ -   ," $ 19,558.56 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46125,Marinatte replied said payment of $395.00 Ck-63552 out last week on 4-6-26.,,,,38,,,,,,TCS
FALSE,Sylvia,Fresno,B&B CONSTRUCTION SERVICES,, B&B CONSTRUCTION SERVICES , $ 303.92 ," $ 17,591.04 ", $ -   , $ -   , $ -   ," $ 17,894.96 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46157,following up with Lorena regarding payment on those March and April invoices. (fresno account),,3/18/25,,6,,,,,,TCS
,Josie,Visalia / Bakersfield ,FARWEST CORROSION CONTROL COMPANY,, FARWEST CORROSION CONTROL COMPANY ," $ 9,355.64 "," $ 6,686.96 ", $ -   , $ -   , $ -   ," $ 16,042.60 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46161,Emailed Maria status report for both accounts waiting on response ,,,,2,,,,,,TCS
TRUE,Sylvia,Fresno,TODD COMPANIES,, TODD COMPANIES , $ 22.40 , $ 489.08 , $ 26.88 ," $ 13,790.00 ", $ -   ," $ 14,328.36 ",Active,Contacted,BRANCH MANAGER,WEEKLY,46135,"left message for Melissa, she was out for Lunch, sending her an email again following up on payment on the Feb-7 invoice for $13,790.00 (fresno account)",,,,28,,,,,,TCS
TRUE,Sylvia,Fresno,LEGACY,, LEGACY , $ -   , $ 457.46 ," $ 13,649.62 ", $ -   , $ -   ," $ 14,107.08 ",Active,Promise to Pay,BRANCH MANAGER,WEEKLY,46121,"( Branch Manager working on this Account ) -following up on payment on those February invoices with Accounting, waiting on a response.",,,,42,,,,,,TCS
FALSE,Sylvia,Fresno,HBC ENTERPRISES,, HBC ENTERPRISES , $ -   ," $ 11,375.00 ", $ -   , $ -   , $ -   ," $ 11,375.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46143,left message see if the April invoices was received. (fresno account),,,,20,,,,,,TCS
TRUE,Sylvia,Modesto,SEFNCO COMMUNICATIONS COMCAST (MODESTO),, SEFNCO COMMUNICATIONS COMCAST (MODESTO) ," $ 2,740.00 ", $ (247.73), $ -   ," $ 4,540.00 "," $ 3,600.00 "," $ 10,632.27 ",Active,Contacted,COLLECTION TEAM,WEEKLY,45951,they had issues with pictures & daily. all fixed and will receive payment in 10 days ,,7/25/24,By @Abraham Vasquez...they make partial payments and will pay soon. 10-2-24 abraham got with matt he will be getting with there ap for update ,212,,,,,,TCS
,Josie,Bakersfield ,MAC GENERAL ENGINEERING,, MAC GENERAL ENGINEERING ," $ 8,565.00 ", $ -   , $ -   , $ -   , $ -   ," $ 8,565.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46160,emailed asking for payment on invoice 00105547  waiting on response ,,,,3,,,,,,TCS
,Lui,Fresno / Modesto,"JERRY'S TRENCHING SERVICE, INC.",," JERRY'S TRENCHING SERVICE, INC. ", $ -   ," $ 13,101.64 ", $ -   , $ -   , $ (419.10)," $ 12,682.54 ",Active,Roadblock,COLLECTION TEAM,WEEKLY,46100,requested update on payment. ,,,,63,,,,,,TCS
TRUE,Sylvia,Fresno,TRI COUNTY EXCAVATION INC,, TRI COUNTY EXCAVATION INC ," $ 8,130.00 ", $ (640.00), $ -   , $ -   , $ (393.02)," $ 7,096.98 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46099,"$1,540.00  Ck-12153 payment for those February invoices, per Mariana ",,,,64,,,,,,TCS
TRUE,Sylvia,Fresno,"KATCH ENVIRONMENTAL, INC.",," KATCH ENVIRONMENTAL, INC. "," $ 6,376.00 ", $ 648.00 , $ -   , $ -   , $ -   ," $ 7,024.00 ",Active,Promise to Pay,COLLECTION TEAM,WEEKLY,46143,calling Briana in A/P to make sure the April invoices were received. ,,,,20,,,,,,TCS
TRUE,Sylvia,Fresno,ASPHALT TECHNOLOGY INC,, ASPHALT TECHNOLOGY INC , $ -   , $ -   ," $ 6,840.00 ", $ -   , $ -   ," $ 6,840.00 ",Active,Paid,COLLECTION TEAM,WEEKLY,46157,"Account paid in full, #00104736 for $6,840.00 is a VOIDED invoice, Victoria will clear",,,,6,,,,,,TCS
TRUE,Sylvia,Fresno,"FANCHER CREEK TOWN CENTER, LLC",," FANCHER CREEK TOWN CENTER, LLC "," $ 2,310.00 "," $ 3,080.00 ", $ -   , $ -   , $ 0.98 ," $ 5,390.98 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46143,"following up on the emil thread regarding payment with Adan, see if payment todya or next week as promise.",,,,20,,,,,,TCS
,Josie,Modesto ,ERNIE LANCASTER CONSTRUCTION,, ERNIE LANCASTER CONSTRUCTION ," $ 5,130.00 ", $ -   , $ -   , $ -   , $ -   ," $ 5,130.00 ",Active,Contacted,,WEEKLY,46162,Emailed Ernie open invoice waiting on response ,,,,1,,,,,,TCS
TRUE,Sylvia,Fresno,"JUAREZ BROTHERS GENERAL ENGINEERING, INC.",," JUAREZ BROTHERS GENERAL ENGINEERING, INC. "," $ 3,598.36 "," $ 1,153.32 ", $ -   , $ -   , $ -   ," $ 4,751.68 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46143,"following up by email thread with Nancy, see if payment information on those March invoices. (fresno account)",,,,20,,,,,,TCS
TRUE,Sylvia,Fresno,CVIN LLC,, CVIN LLC ," $ 1,005.00 "," $ 6,525.00 ", $ -   , $ -   ," $ (2,817.50)"," $ 4,712.50 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46135,emailed balance report to Accounting regarding those March invoices (fresno account),,,,28,,,,,,TCS
TRUE,Sylvia,,COOPER CHASE CONSTRUCTION INC,, COOPER CHASE CONSTRUCTION INC ," $ 4,680.00 ", $ -   , $ -   , $ -   , $ -   ," $ 4,680.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46094,"$1,634.80 with Credit Card today for all invoices, per Veronica (fresno account)",,,,69,,,,,,TCS
FALSE,Sylvia,Fresno,"MP NEXLEVEL OF CALIFORNIA,INC",," MP NEXLEVEL OF CALIFORNIA,INC "," $ 4,665.00 ", $ -   , $ -   , $ -   , $ -   ," $ 4,665.00 ",Active,Under Review,COLLECTION TEAM,WEEKLY,46129,"asking Accounting Vic/Logna to clear invoice #00104753 $831.60  void invoice on TCR, ",,,,34,,,,,,TCS
FALSE,Sylvia,Fresno,SEFNCO COMMUNICATIONS COMCAST ((FRESNO)),, SEFNCO COMMUNICATIONS COMCAST ((FRESNO)) , $ -   , $ -   , $ -   , $ -   ," $ 4,386.85 "," $ 4,386.85 ",Active,Uncollectable,MOTION TO WRITE OFF,WEEKLY,45951,will receive payment in 10 days ,,8/28/24,Met with Matt GM In Fresno Office 8-28-24 went over the past due invoices  some invoices got debriefed payment should come in 45days. there was some duplicated invoices that we resolved. ,212,,,,,,TCS
,Josie,Fresno ,"GEOMETRIC CONSTRUCTION, INC.",," GEOMETRIC CONSTRUCTION, INC. ", $ -   ," $ 3,969.16 ", $ -   , $ -   , $ -   ," $ 3,969.16 ",Active,Paid,COLLECTION TEAM,WEEKLY,46161,"Paid 5/18/26  $3,969.16 Check # 2105",,,,2,,,,,,TCS
FALSE,Sylvia,Modesto,"SLE CONSTRUCTION, INC.",," SLE CONSTRUCTION, INC. "," $ 1,650.00 "," $ 1,650.00 ", $ -   , $ -   , $ -   ," $ 3,300.00 ",Active,Paid,COLLECTION TEAM,WEEKLY,46134,"$790.00 with Credti Card today per Loyd, account paid in full (modesto account) ",,,,29,,,,,,TCS
FALSE,Sylvia,Modesto,"RIVERBANK 108, LLC",," RIVERBANK 108, LLC "," $ 3,300.00 ", $ -   , $ -   , $ -   , $ -   ," $ 3,300.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46134,"$18,175.00 Ck-10456 payment out on Monday per Sanna, account paid in full. (Modesto Account)",,,,29,,,,,,TCS
,Lui,Visalia / Modesto / Bakesfield / Fresno,"RUBEN'S PIPELINE, INC.",," RUBEN'S PIPELINE, INC. ", $ 414.20 , $ -   , $ -   , $ -   ," $ 2,826.32 "," $ 3,240.52 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46119,sent open balance report. waiting for reply,,,,44,,,,,,TCS
,Lui,Modesto,WIRING CONNECTIONS INC. (MODESTO),, WIRING CONNECTIONS INC. (MODESTO) ," $ 1,759.50 "," $ 1,759.50 ", $ -   , $ -   , $ (309.50)," $ 3,209.50 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46125,"made a payment monday (18,655.00) & (2,250.20)",,2/11/25,(DH) WC's is being reached out to by accounting dept to see which invoices they would like to apply $6000 credit to,38,,,,,,TCS
FALSE,Sylvia,Fresno,TITAN UTILITIES INC,, TITAN UTILITIES INC ," $ 3,176.68 ", $ -   , $ -   , $ -   , $ (0.60)," $ 3,176.08 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46072,"email Jessica/Luz offer a 3% discount if balance is paid in full ASAP.  -talk to Jessica, making sure invoices received, Januray-31 and February-7 invoices, (asking for approval to offer a discount for early payment)",,,,91,,,,,,TCS
,Bryce,O .C.,HP COMMUNICATION (SOUTHERN CALIFORNIA),, HP COMMUNICATION (SOUTHERN CALIFORNIA) , $ -   , $ -   , $ -   , $ -   ," $ 2,970.81 "," $ 2,970.81 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46113,victoria is working on it,,1/15/2025,"There are invoices in here that are not OC, there is one for fresno and 1 for AG .(Seth) The OC invoice, we are actively working with Gretchen to get the payment made for $1,169.52. Hope to have resolved asap. (Ashley)- Gretchen stated that this should be paid out on 03.10.2025 (Ashley)",50,,,,,,TCS
FALSE,Sylvia,Fresno,MOMENTUM SERVICES CORPORATION DBA S2M,, MOMENTUM SERVICES CORPORATION DBA S2M ," $ 2,925.00 ", $ -   , $ -   , $ -   , $ -   ," $ 2,925.00 ",Active,Promise to Pay,COLLECTION TEAM,WEEKLY,46136,"$790.00 Ck-44832 payment out last week, per Cindy, account paid in full (fresno account)",,,,27,,,,,,TCS
FALSE,Sylvia,Fresno,Crawford Construction,, Crawford Construction ," $ 2,370.00 "," $ 8,100.00 ", $ -   , $ -   ," $ (7,850.00)"," $ 2,620.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46162,emailed balance report to Carlos/Nathaniel April invoices also along with available credits. (fresno account),,,,1,,,,,,TCS
FALSE,Sylvia,Fresno,BMY,, BMY , $ -   , $ -   , $ -   , $ -   ," $ 2,530.10 "," $ 2,530.10 ",Active,Pending CPR,COLLECTION TEAM,WEEKLY,46161,"Ali responded to email, Conditional in Progress Release needs to be signed and returned, done by Victoria.  (fresno account)",,,,2,,,,,,TCS
FALSE,Sylvia,Fresno,EFRAIN YANEZ CONSTRUCTION INC,, EFRAIN YANEZ CONSTRUCTION INC ," $ 1,260.00 "," $ 1,260.00 ", $ -   , $ -   , $ -   ," $ 2,520.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46160,"emailed balance report to Pricilla, also asking for payment on those April invoices (fresno account)",,,,3,,,,,,TCS
FALSE,Sylvia,Visalia / Modesto,"AFFILIATED TECHNOLOGY, LLC",," AFFILIATED TECHNOLOGY, LLC ", $ -   ," $ 2,495.00 ", $ -   , $ -   , $ -   ," $ 2,495.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46157,following up with Mike/Lain by email regarding payment information on the April-11 invoice,,,,6,,,,,,TCS
FALSE,Sylvia,Fresno / Visalia,WIRING CONNECTIONS INC.(Visalia/Fresno),, WIRING CONNECTIONS INC.(Visalia/Fresno) ," $ 2,363.56 ", $ -   , $ -   , $ -   , $ -   ," $ 2,363.56 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46129,0 bal,,,,34,,,,,,TCS
FALSE,Sylvia,,T&T PAVEMENT MARKING,, T&T PAVEMENT MARKING ," $ 1,255.00 "," $ 1,050.00 ", $ -   , $ -   , $ -   ," $ 2,305.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46094,"left message for Jessica with Anan, see if invoices received N (Fresno)",,,,69,,,,,,TCS
FALSE,Sylvia,Fresno,ASPHALT DESIGN,, ASPHALT DESIGN ," $ 3,750.00 ", $ -   , $ -   , $ -   ," $ (1,541.28)"," $ 2,208.72 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46052,"email Jessica, asking if that Jan invoice was recevied and approved, waiting for response",,,,111,,,,,,TCS
FALSE,Sylvia,fresno,BOOT,, BOOT , $ -   ," $ 2,200.00 ", $ -   , $ -   , $ -   ," $ 2,200.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46157,following up with Heather regarding payment on the March invoice. (fresno account), ,,,6,,,,,,TCS
,Josie,Modesto ,APEX SITE SOLUTIONS,, APEX SITE SOLUTIONS ," $ 2,045.00 ", $ -   , $ -   , $ -   , $ -   ," $ 2,045.00 ",Active,Paid,COLLECTION TEAM,WEEKLY,46161,Debbie emailed back said she has the two invoices entered asked if those were the ones i was asking about Emailed Debbie asking if she had recevied yesterday's email ,,,,2,,,,,,TCS
,Josie,Fresno ,"TESORO CONTRACTORS, INC.",," TESORO CONTRACTORS, INC. "," $ 1,769.30 ", $ -   , $ -   , $ -   , $ -   ," $ 1,769.30 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46161,Spoke with Luis said that he was not sure if he had the invoice emailed to him said he should be able to pay since he got paid ,,,,2,,,,,,TCS
,Lui,Bakersfield / Fresno ,W. M. LYLES CO.,, W. M. LYLES CO. , $ -   , $ -   , $ -   , $ 94.40 ," $ 1,652.00 "," $ 1,746.40 ",Active,Union Letter,VP/HIGH LEVEL,WEEKLY,46086,requested update on payment,,1/7/25,Called and left Karen a vm regarding open invoices. Also sent her an email requesting an update on payment status. Per weekly conversations with her they are waiting on info from our certified payroll dept before they can release payment. (Not Visalia's),77,,,,,,TCS
FALSE,Sylvia,Fresno,QUIRING GENERAL LLC,, QUIRING GENERAL LLC ," $ 3,395.00 ", $ -   ," $ (1,725.00)", $ -   , $ -   ," $ 1,670.00 ",Active,Promise to Pay,COLLECTION TEAM,WEEKLY,46125,"$3,375.00 or $8,000 check ready for pick up per Robin, Fresno to pick up payment ",,,,38,,,,,,TCS
FALSE,Sylvia,Fresno,"ZUMWALT CONSTRUCTION, INC.",," ZUMWALT CONSTRUCTION, INC. "," $ 1,530.90 ", $ -   , $ -   , $ -   , $ -   ," $ 1,530.90 ",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
FALSE,Sylvia,Fresno,ROY ALLAN SLURRY SEAL INC,, ROY ALLAN SLURRY SEAL INC ," $ 1,280.00 ", $ 170.00 , $ -   , $ -   , $ -   ," $ 1,450.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46136,"Minni asking for ACH information, payment next week for the March-17 invoice for $1,100.00",,,,27,,,,,,TCS
FALSE,Sylvia,Fresno,CITY OF FRESNO WASTEWATER,, CITY OF FRESNO WASTEWATER , $ -   , $ 58.24 ," $ 1,351.36 ", $ -   , $ -   ," $ 1,409.60 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46162,"Mairen responded to email, said payment in another 2-weeks for the remaining of March invoices ( fresno account)",,,,1,,,,,,TCS
FALSE,Sylvia,Modesto,"ROSS F. CARROLL, INC.",," ROSS F. CARROLL, INC. "," $ 1,761.54 ", $ 228.15 , $ 25.65 , $ -   , $ (645.00)," $ 1,370.34 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46129,"$5,895.48 Ck-14580 out last week, forgot to registered here, Account current now. we should recieved check any time soon.",,1/14/25,(DH) Reached out to Mike and Anna.  Haven't received a response.,34,,,,,,TCS
FALSE,Sylvia,fresno,WILLBANKS ENVIRONMENTAL,, WILLBANKS ENVIRONMENTAL , $ 811.02 , $ 545.10 , $ -   , $ -   , $ -   ," $ 1,356.12 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46143,left Linda a message see if payment for that invoices next week.,,,,20,,,,,,TCS
FALSE,Sylvia,Fresno,COMMERCIAL CONTRACTING,, COMMERCIAL CONTRACTING , $ 262.08 , $ 917.28 , $ 131.04 , $ (0.36), $ -   ," $ 1,310.04 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46162,"left message for Kimberly, see if payment out this week like promise. waiting on a response. (fresno account)",,,,1,,,,,,TCS
,Josie,Modesto,TEN WEST INC.,, TEN WEST INC. ," $ 1,304.00 ", $ -   , $ -   , $ -   , $ -   ," $ 1,304.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46161,Called Sara  left message regarding payment ,,,,2,,,,,,TCS
,Bryce,Modesto / Visalia / AG / OC / Bakersfield ,TURN AROUND COMMUNICATIONS,, TURN AROUND COMMUNICATIONS , $ -   , $ -   , $ -   , $ -   ," $ 1,289.57 "," $ 1,289.57 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46132,sent open balace report,,,,31,,,,,,TCS
,Josie,A.G.,RAILWORKS TRACK SYSTEMS LLC,, RAILWORKS TRACK SYSTEMS LLC ," $ 1,267.50 ", $ -   , $ -   , $ -   , $ -   ," $ 1,267.50 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46161,Payment will go out end of month ,,,,2,,,,,,TCS
FALSE,Sylvia,Visalia,PACIFIC UTILITY PIPELINE INC,, PACIFIC UTILITY PIPELINE INC ," $ 1,045.16 ", $ 216.72 , $ -   , $ -   , $ -   ," $ 1,261.88 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46134,"$216.72 with check last week. per Denise, another payment on April-27",,,,29,,,,,,TCS
FALSE,Sylvia,Fresno,CHRISTENSEN CONSTRUCTION INC,, CHRISTENSEN CONSTRUCTION INC , $ 395.00 , $ 805.76 , $ -   , $ -   , $ -   ," $ 1,200.76 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46160,following up with Jordan regarding payent on the April-11 invoice.,,,,3,,,,,,TCS
FALSE,Sylvia,,"HDR ENGINEERING, INC",," HDR ENGINEERING, INC "," $ 1,145.00 ", $ -   , $ -   , $ -   , $ -   ," $ 1,145.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,45944,"Jessica email asking if there will be more invoices comming up related to project- KHA Sonoma Airport Blvd, asking Hammer for help, I dont know who the manager is for the Project, it doe not said on our TCR system. ",,,,219,,,,,,TCS
FALSE,Sylvia,Fresno ,"NORTH SKY COMMUNICATIONS, LLC",," NORTH SKY COMMUNICATIONS, LLC "," $ 1,035.00 ", $ -   , $ -   , $ -   , $ -   ," $ 1,035.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46143,following up by phone to see if all invoices received.,,,,20,,,,,,TCS
FALSE,Sylvia,Fresno,VULCAN MATERIALS - AUSTIN QUARRY,, VULCAN MATERIALS - AUSTIN QUARRY ," $ 1,615.00 ", $ -   , $ -   , $ -   , $ (598.00)," $ 1,017.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46086,"$3,230.00 with ACH Yesterday 3-4-26 for 2 January invoices, account current now, another payment hope by March-20th (fresno account)",,5/7/26,Reached out to Cisco.  Hoping to receive a response asap,77,,,,,,TCS
FALSE,Sylvia,Fresno,"UNDERGROUND BORING SYSTEMS, INC.",," UNDERGROUND BORING SYSTEMS, INC. ", $ -   , $ 915.00 , $ -   , $ -   , $ -   , $ 915.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46072,"Accounting email asking for Releses for jobs on Herdon/Fowler Ave and Willo Ave, forward email to Victoria.",,,,91,,,,,,TCS
FALSE,Sylvia,Fresno,"CENCAL DEMOLITION, INC",," CENCAL DEMOLITION, INC ", $ 604.80 , $ 172.80 , $ -   , $ -   , $ -   , $ 777.60 ,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,46160,"$1,800.00 Ck-18483, payment out last week for those April invoices per Shannon. (fresno account)",,,,3,,,,,,TCS
,Josie,Bakersfield ,BAKERSFIELD HOUSE ACCOUNT,, BAKERSFIELD HOUSE ACCOUNT , $ -   , $ -   , $ -   , $ -   , $ 708.31 , $ 708.31 ,Active,Uncollectable,COLLECTION TEAM,WEEKLY,46099,Asling for update on the invoices that are open and not paid waiting on response ,,,,64,,,,,,TCS
,Josie,Bakersfield ,UNITED RENTALS TRENCH SAFETY,, UNITED RENTALS TRENCH SAFETY , $ -   , $ -   , $ -   , $ -   , $ 684.40 , $ 684.40 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46162,Spoke with Victoria said the remainder is to be written off ,,,,1,,,,,,TCS
FALSE,Sylvia,Fresno,MATTOS UNDERGROUND,, MATTOS UNDERGROUND , $ 145.60 , $ 521.78 , $ -   , $ -   , $ -   , $ 667.38 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46132,"Kelly replied back, Check $6,552.80 on the mail last Friday, check should be here soon, ",,,,31,,,,,,TCS
FALSE,Sylvia,Fresno,ALMA'S BUY & SELL,, ALMA'S BUY & SELL , $ 595.00 , $ -   , $ -   , $ -   , $ -   , $ 595.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46142,"left message for Trois, see if April invoices were received. (visalia job)",,,,21,,,,,,TCS
FALSE,Sylvia,Fresno,"1 OAK CONSTRUCTION, LLC",," 1 OAK CONSTRUCTION, LLC ", $ -   , $ 490.00 , $ -   , $ -   , $ -   , $ 490.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46157,"emailed balance report to Stephanie, asking for payment information on the Marh-28th invoice (fresno account)",,,,6,,,,,,TCS
FALSE,Sylvia,Fresno,BRASWELL,, BRASWELL , $ 254.72 , $ 247.84 , $ -   , $ -   , $ (30.00), $ 472.56 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46157,"calling Emily for payment on this account, (fresno account)",,,,6,,,,,,TCS
FALSE,Sylvia,Visalia,"TRAVIOLI CONSTRUCTION, INC.",," TRAVIOLI CONSTRUCTION, INC. ", $ -   , $ 415.36 , $ -   , $ -   , $ -   , $ 415.36 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46135,"calle d customer left message see if April invoices received, (Visalia account)",,,,28,,,,,,TCS
FALSE,Sylvia,Fresno,"QUALITY TELECOM CONSULTANTS, INC.",," QUALITY TELECOM CONSULTANTS, INC. ", $ 96.32 , $ 304.24 , $ -   , $ -   , $ -   , $ 400.56 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46135,email balance report to Accounting see if April invoices recived. (fresno account),,,,28,,,,,,TCS
FALSE,Sylvia,Bakersfield,WATTENBARGER,, WATTENBARGER , $ -   , $ -   , $ -   , $ 395.00 , $ -   , $ 395.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46136,"following up by email thread with Manny again, also left a message regarding the Feb-14 invoice for $395.00 (bakersfield account)",,,,27,,,,,,TCS
FALSE,Sylvia,,"DULEY'S LANDSCAPING, INC.",," DULEY'S LANDSCAPING, INC. ", $ 395.00 , $ -   , $ -   , $ -   , $ -   , $ 395.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
FALSE,Sylvia,Fresno,CM CORP.,, CM CORP. , $ 327.04 , $ -   , $ -   , $ -   , $ -   , $ 327.04 ,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,46154,"melissa email, payment last week for those 2 invoices. ",,,,9,,,,,,TCS
,Lui,Bakersfield / OC / ,GRIFFITH COMPANY,, GRIFFITH COMPANY , $ -   , $ -   , $ -   , $ 290.00 , $ -   , $ 290.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46125,ashley responded with update. trying to get joint checks.,,,,38,1/27/2025,In Progress,1,1,93281 waiting for CPR. ,TCS
FALSE,Sylvia,,Joseph Crown Construction and Development,, Joseph Crown Construction and Development , $ 252.00 , $ -   , $ -   , $ -   , $ -   , $ 252.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46013,"$504.00 payment today w/credit card, per Monica",,,,150,,,,,,TCS
FALSE,Sylvia,Fresno,CITY OF CLOVIS,, CITY OF CLOVIS , $ -   , $ 250.00 , $ -   , $ -   , $ -   , $ 250.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46161,Hector will void invoice #00104853 account cleared (fresno ccount),,,,2,,,,,,TCS
FALSE,Sylvia,Modesto / Fresno,"INNERLINE ENGINEERING, INC.",," INNERLINE ENGINEERING, INC. ", $ 105.84 , $ -   , $ -   , $ -   , $ -   , $ 105.84 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46125,"Taylor replied, said working on payment for this week, she will let me know ones those invoices get processed.",,,,38,,,,,,TCS
FALSE,Sylvia,Bakersfield,USA DIRECTIONAL BORE,, USA DIRECTIONAL BORE , $ 37.58 , $ -   , $ 53.69 , $ -   , $ -   , $ 91.27 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46143,Ofelia seid invoices will be approve by next week.,,,,20,,,,,,TCS
FALSE,Sylvia,Fresno,FRESNO HOUSE ACCOUNT,, FRESNO HOUSE ACCOUNT , $ -   , $ 68.80 , $ -   , $ -   , $ -   , $ 68.80 ,Active,Contacted,COLLECTION TEAM,WEEKLY,45741,"after talking with Hector/Hammer/Yareli, said customer paid w/credit card on 3-25-25, got with Victoira she fould payment under expenses, Done Invoice clear PAID",,,,422,,,,,,TCS
,Josie,Fresno ,"SOILS ENGINEERING, INC",," SOILS ENGINEERING, INC ", $ -   , $ 23.98 , $ -   , $ -   , $ -   , $ 23.98 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46161,Beatriz is on vacation will not have a payment for the weekending May 23rd ,,,,2,,,,,,TCS
,Josie,,"ROCK CANYON BUILDERS, INC.",," ROCK CANYON BUILDERS, INC. ", $ -   , $ -   , $ -   , $ -   , $ 0.10 , $ 0.10 ,Active,Contacted,COLLECTION TEAM,WEEKLY,45882,Called no answer could not leave message sent him email waiting on responce Gary emailed and said that Raj droped off check at office  ,,,,281,,,,,,TCS
,Josie,Bakersfield ,AT&T CABLE MAINTENANCE (BAKERSFIELD),, AT&T CABLE MAINTENANCE (BAKERSFIELD) , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ,Active,Contacted,COLLECTION TEAM,WEEKLY,45814,"There is an open invoice for $1,392.80 for May 17 th emailed to customer",,,,349,,,,,,TCS
FALSE,Sylvia,,COX GENERAL ENGINEERING LLC,, COX GENERAL ENGINEERING LLC , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ,Active,Contacted,COLLECTION TEAM,WEEKLY,45819,"(sylvia 6-11-25) left another message to Chris requesting a call back, getting with Hector on this Account. march-29 invoice  ----Another called and email to Chris requesting payment ASP (sylvia 6-9-25)",,,,344,,,,,,TCS
