,,,,,,,,,,,,
,,,,,,,,,,,,
Assigned,BRANCH ,Customer,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Action Item / Follow-up Items,Local Management Note date,Local Management Notes,Days since contact
Josie,,ERNESTO SILVA ESCOBAR,Active,Contacted,COLLECTION TEAM,WEEKLY,7/23/2025,"Ernesto left message  I called him back no answer  left him a message 
Called and emailed Ernesto again second time calling him  today no answer and waiting on response from the email I sent  ",,,,301
Sylvia,,"EXCEL ELECTRIC, INC",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,FCON3,Active,Contacted,COLLECTION TEAM,WEEKLY,9/9/2025,"$949.70 check out on today's mail, email Correne confirming payment,",,,,253
Josie,,"FERREIRA, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,6/27/2025,"I keep calling no answer twice Called again and tried 3 times no answer was able to leave voice mail on admins # also sent email  Called again did not answer could not leave Voice mail its full Josie called also and sent email on 6/6/25 ***lui left a voicemail 6-6-25*** Calling again customer regarding payment information on those Oct/Dec invoices, last month Melinda mentioned that Jennifer and her team was working on getting those paid, nothing till now, left another message also another email, cc:Jose Gil",,,,327
Sylvia,,FIBER TEL,Active,Contacted,COLLECTION TEAM,WEEKLY,7/8/2025,getting with Fresno team on this Acct (sg),,,,316
Sylvia,,FLOYD JOHNSTON CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"FRAIJO BROTHERS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,"FRESNO ARTS COUNCIL, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,10/7/2025,"$131.70 Ck-5028 for the August invoice, per Maritza",,,,225
Josie,,FROEHLICH SIGNATURE HOMES,Active,Contacted,COLLECTION TEAM,WEEKLY,7/1/2025,Spoke with Lisa said that she sent out check 2425 on the 27th to the Merle Haggard Drive,,,,323
Sylvia,,"G.L. BRUNO ASSOCIATES, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,G.M. ENGINEERING INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"GANEM CONSTRUCTION, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,7/1/2025,"*Could not leave message **left a voice mail 6-6-25*** talk to Dale regarding Jan-25 invoice, said he will be paying that invoice sometime next week, for me to follow up Wed or Thus.  (sg)  -Following up on payment with Dale, however said he still waitting on funds, hope next week,  (sg)",,,,323
Sylvia,,GARLIN FRINK CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,7/24/2025,(lui) customer not answering. sending to collections. ,,,,300
Sylvia,,GARY MCDONALD HOMES,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"GCI CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,GILL REEVES CO INC,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,GL BRUNO ASSOCIATES INC (CASH),Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,GOLDEN STATE UTILITY CO.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,Golden Valley Concrete ( CASH ),Active,Contacted,COLLECTION TEAM,WEEKLY,7/8/2025,"no answer from this customer, no email, -no able to collect from this customer getting with Fresno team (sg)",,,,316
Josie,,GOLDSMITH CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,7/1/2025,"This account is not due till July 7th  We Recevied check on Kelly sent out check #100237 for $11,955.64 that paid April  (26) invoice dated 5/30/2025 Does not want calls till they are past due or she will look for a new vender (per josie customer want 45days terms)",,,,323
Sylvia,,GOMEZ ARTHUR III (CASH),Active,Contacted,COLLECTION TEAM,WEEKLY,7/24/2025,(lui) need to write-off not worth sending to collection agency ,,,,300
Josie,,GPHI,Active,Contacted,COLLECTION TEAM,WEEKLY,7/24/2025,(lui) paying invoice in this run,,,,300
Josie,,"GRACYBIRCH CONSTRUCTION, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,"GRAHAM CONTRACTORS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,GRANVILLE HOMES,Active,Contacted,COLLECTION TEAM,WEEKLY,1/23/2026,"$4,196.50 Ck-1317 payment out yesterday per Kristina.",,2/14/2025,Hammer- .check will be ready 2-20-25,117
Josie,,GREENFIELD COUNTY WATER DISTRICT,Active,Contacted,COLLECTION TEAM,WEEKLY,6/6/2025,Called spoke with Jessica said ap was not in today gave me her emailadress emailed May 24 invoice,,901.84 on 7/21/25,,348
Sylvia,,"GROVE GENERAL, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,Visalia ,"GROVER LANDSCAPE SERVICES, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,3/18/2026,Called spoke with Ann said that check 40888 went out in yesterdays mail,,,,63
Josie,,"GURDWARA GURU ANGAD DARBAR, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,HAITBRINK ASPHALT PAVING INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"HAL HAY'S CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,5/30/2025,Spoke with Biinica said check #44792 went out on 5/28/25,,,,355
Josie,,HAYDON CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,4/14/2026,Called no answer emailed status report asking for payment update ,,,,36
Josie,,HECTORS PLUMBING INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,3/10/2026,promise to pay this week and requested missing invoices ,,,,71
Josie,,HERITAGE BIBLE CHURCH OF BAKERSFIELD,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,HISTORIC UNION CEMETERY,Active,Contacted,COLLECTION TEAM,WEEKLY,5/29/2025,Griselda said to go and pick up check Lui picked up,,,,356
Sylvia,Fresno / Visalia,HOLLOWAY CONSTRUCTION INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,3/13/2026,left message for A/P or Accounting see if email is accurate and invoices received.,,,,68
Josie,,"HONDA PREFORMANCE DEV., INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Lui,,"HORTA DESIGN AND CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,7/17/2025,paid,,,,307
Yareli,Fresno ,HP COMMUNICATION SVA (JERRY'S TRENCHING),Active,Contacted,COLLECTION TEAM,WEEKLY,4/1/2026,victoria is working on it,,12/4/24,Jordan to speak with russ ,49
Josie,,"HPS MECHANICAL, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,12/4/2025,requested update on the account from yareli  3invoices are way past due,,,,167
Josie,,"HUDDLESTON CRANE SERVICE, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"INNOVATIVE ENGINEERING SYSTEMS, INC. DBA",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,O.C.,"INSITUFORM TECHNOLOGIES, LLC",Active,Roadblock,VP/HIGH LEVEL,MONTHLY,3/13/2026,,,09-27-24,Should this be INC? NO.    Danielle in A/P replied back said they has some changes on her department but they are working fast to get everything entered and paid,68
Josie,,INTERSTATE LAND COMPANY,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"J. & H. DRILLING CO., INC., DBA MR DRILLI",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,J&M UNDERGROUND INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,JACO OIL COMPANY,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"JACOBSSON ENGINEERING CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,8/7/2025,"Victoria said check #19470 went out on the 4th $3,357.25",,,,286
Sylvia,,JJ LEON CONSTRUCTION (CASH),Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,JM PIPELINE CONSTRUCTION INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,9/29/2025,Received invoice ,,,,233
Sylvia,,JOHNSON AIR (CASH),Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"JON ROWLES CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"JOSEPH CONSTRUCTION AND CONSULTING, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,12/29/2025,Said she will see what she can do ,,,,142
Sylvia,,JP MARKETING,Active,Contacted,COLLECTION TEAM,WEEKLY,7/3/2025,"(7-3-25)Invoice is a voided invoice, give to Victoria to clear from Q.B.",,,2-2020 invoice,321
Josie,,JP OIL,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"JR ASPHALT, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,5/8/2025,"contact customer waiting on a respond (sg) -another attempt but not able to get a hold of customer Christel on A/P (sg) left another message, Not replying back (sg)",,,,377
Sylvia,,JULIEANN M. LOPEZ-RICKEY,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,Kali Wheels,Active,Contacted,COLLECTION TEAM,WEEKLY,7/23/2025,paid invoice after reaching for moths ,,,,301
Sylvia,Visalia,"KAWEAH PUMP, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,2/18/2026,"$5,722.50 Ck-45749 Meranda just confirmed that payment went out yesterday.  -I talked to Meranda; she said the check is printed and waiting for signature, she will send out an email when is ready for pick up. i email her as well asking for copy of check.",,,,91
Josie,,"KAYLOR LANDSCAPE, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,KERN ASPHALT,Active,Contacted,COLLECTION TEAM,WEEKLY,7/23/2025,Maria said yes she has three invoices and there turn around time is 30 days,,,,301
Josie,,KERN COUNTY PUBLIC HEALTH DEPARTMENT,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,KERN COUNTY PUBLIC WORKS DEPARTMENT,Active,Contacted,COLLECTION TEAM,WEEKLY,3/24/2025,No Invoice in TCR to email to customer Bakersfield need to located invoice #00091477 not in TCR management attention,,,,422
Josie,,KERN PACIFIC CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,5/15/2026,Emailed Ashlee the receipt of yesterday charge ,,12-17-24,"(sylvia) left message for Verity regarding Oct-10 and November invoices, also sending her an email cc:Nic/Seth",5
Sylvia,,KPW COMPANY INC (CASH),Active,Contacted,COLLECTION TEAM,WEEKLY,7/8/2025,"emailed customer invoice asking for payment March-12 invoice, waiting for reply (sg)",,,,316
Sylvia,Fresno,"KROEKER, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,2/2/2026,"$12,570.00 with credit card, offering a 2% discount. paying in full",,3/11/25,(DH) Contacted re: open invoices,107
Josie,O.C /Fresno / Bakersfield,"LANDSCAPE DEVELOPMENT, INC.",Active,Paid,COLLECTION TEAM,WEEKLY,4/15/2026,Chere said that payables went out this week and  SFN did not make it they went through a big layoff so she will try for next week ,,,,35
Josie,,"LANE TAKERS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,1/7/2026,No balance paid bill 12/18/25 $1935.00,,,,133
Josie,,"LAWRENCE BACKHOE SERVICE, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"LEFT COAST CONCRETE AND PAVERS, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,6/5/2025,***lui paid 3600 on 6-5-25***,,,,349
Josie,,LENTZ CONSTRUCTION GENERAL ENGINEERING CO,Active,Contacted,COLLECTION TEAM,WEEKLY,7/24/2025,(lui) need to write-off not worth sending to collection agency ,,,,300
Lui,,LEO TIDWELL EXCAVATING,Active,Contacted,COLLECTION TEAM,WEEKLY,4/20/2026,requested update on payment and sent open balace ,,11/22/24,"Per Kathy - she will be sending out ck#57593, $11261.50 out today 11/22.",30
Josie,,"LIDCO, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,LOOP ELECTRIC,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,MADERA COUNTY PUBLIC WORKS,Active,Contacted,COLLECTION TEAM,WEEKLY,7/11/2025,"sent emil to A/P, asking if received June-26 invoices, waiting for reply",,,,313
Sylvia,Fresno,MAG ENGINEERING,Active,Contacted,COLLECTION TEAM,WEEKLY,1/23/2026,"emailed update balance report to Nicole, regarding Dec-13 invoice, see if she has payment information, I know they just paid $10,691 last week.",,,,117
Sylvia,,MALDONADO BROTHERS LANDSCAPE & MAINTENANC,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"MARINA LANDSCAPE, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,5/28/2025,NO open Invoices,,,,357
Josie,,MARK WILSON CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,9/30/2025,In voices is not in QB yet ,,,,232
Josie,,"MARTIN CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,5/9/2025,emailed March invs waiting on Julie's response 5-9-25 (sg),,,,376
Lui,,MASTEC (BAKERSFIELD),Active,Contacted,COLLECTION TEAM,WEEKLY,4/1/2026,jordan working on it ,,,,49
Lui,,MASTECH (BAKERSFIELD),Active,Contacted,COLLECTION TEAM,DO NOT CALL!,4/1/2026,jordan working on it ,,,,49
Josie,,MCDIVITT SIGNS,Active,Contacted,COLLECTION TEAM,WEEKLY,8/22/2025,"talk to Cherrill, paying $1,850.00 with credit card today",,,,271
Josie,,"MCDIVITT SIGNS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,11/3/2025,Said that recevied invoice  00102207,,,,198
Sylvia,Fresno,"MCH ELECTRIC, INC.",Active,Promise to Pay,COLLECTION TEAM,WEEKLY,4/20/2026,"$17,880.00 check ready for pick up by Cynthia, Don to pick up (fresno job)",,,,30
Sylvia,,"MCKUIN PIPELINE, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,3/11/25,(DH) This invoice has been paid and needs removed from spreadsheet,DATE NEEDED
Josie,,MCLAIN'S BACKHOE RENTAL,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,MCMURTEY LINCE INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Lui,,"MESA ENERGY SYSTEMS, INC. DBA EMCOR SERVI",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,"MICHELS PACIFIC ENERGY, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,"MID CAL PIPELINE & UTILITIES, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,11/18/2025,"talk to Tammy, said to email her my request, it works better for her, so sending an email regarding invoice received",,,,183
Josie,Fresno ,MID VALLEY ROOTER,Active,Contacted,COLLECTION TEAM,WEEKLY,4/21/2026,Called and have emailed no response went to Joe J he called Johnathan said he will call back and pay in 20 min when he gets to his office,,,,29
Sylvia,,MID VALLEY ROOTER (CASH),Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"MIKE PRLICH & SONS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"MILLER EQUIPMENT COMPANY, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,11/10/2025,requested update on open balance. pm is disputing some charges angela is out the office will answer on wednesday,,,,191
Josie,Fresno ,"MK ELECTRIC, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,4/6/2026,Emailed status report asking if they need copy of invoice waiting on response ,,,,44
Josie,,MODESTO HOUSE ACCOUNT.,Active,Contacted,COLLECTION TEAM,WEEKLY,3/18/2026,Asking for proof of payment it was a sale waiting on response ,,,,63
Sylvia,,"MOORE TWINING ASSOCIATES, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,12/3/2025,Called and emailed AR email responded she recevied ,,,,168
Sylvia,,MORRIS LEVIN & SON,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,Fresno,"MP NEXLEVEL OF CALIFORNIA,INC""",Active,Contacted,COLLECTION TEAM,WEEKLY,6/2/2025,"talked to  Jill regarding the short paid invoice from Oct-12 said is showing paid on her system, she was using a credit that is not longer avaiable. so i talk to Victoria, (sg).",,,,352
Josie,,MPS CONSTRUCTION MANAGEMENT CONSULTING LL,Active,Contacted,COLLECTION TEAM,WEEKLY,2/3/2026,This customer  paid  1/30/26  0 balance,,,,106
,,MR ROOTER PLUMBING (CASH),Active,Contacted,COLLECTION TEAM,WEEKLY,2/24/2026,"Called spoke  with Abraham gave me credit card # to charge $1,157.85",,,,85
Sylvia,Bakersfield,"MUNOZ HOME IMPROVEMENT, INC.",Active,No Communication,BRANCH MANAGER,WEEKLY,4/15/2026,"email Credit Card authorization form to Humberto, also left message to confirm email, waiting for a response.",,,,35
Josie,,NAGLE EARTHWORKS,Active,Contacted,COLLECTION TEAM,WEEKLY,9/12/2025,Emaild her status also  said she will contact me and let me know ,,,,250
Josie,,NATIONAL CHAVEZ CENTER,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,NEW CENTURY CONSTRUCTION & CONSULTING INC,Active,Contacted,COLLECTION TEAM,WEEKLY,12/18/2025,Does not answer ,,,,153
Josie,,NICHOLAS CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,10/21/2025,Reached out to team in Bakersfield again to see if any one responds I put it on slack ,,,,211
Sylvia,Fresno ,NOR-CAL PIPELINE,Active,Contacted,COLLECTION TEAM,WEEKLY,3/5/2026,"$915.00 Ck-2396 payment out last week per Sanika, account paid in full.",,,,76
Josie,,"NORTHSTAR GENERAL, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,1/29/2026,"Called and left message again 
Emailed Art to see if he could get in contact with his contact at Northstar ",,,,111
Sylvia,,"OCEAN PACIFIC ENERGY COMPANY, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,12/22/2025,"talk to Elissa, said payment last week w/ACH for $203.00, talk to Logan yes tosted.",,,,149
Josie,,OILDALE MUTUAL WATER CO.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,ON POINT GRADING AND PAVING INC,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"ORANGE CORROSION SERVICES, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,7/23/2025,they will pay as soon as invoice hits 6o days borrowing bases,,,,301
Josie,,ORANGE COUNTY (OC) HOUSE ACCOUNT,Active,Contacted,COLLECTION TEAM,WEEKLY,6/5/2025,***lui paid 245 on 6-5-25***,,,,349
Josie,,Outlet whole Sale,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,OUTSOURCE,Active,Contacted,COLLECTION TEAM,WEEKLY,7/8/2025,not in tcr,,,,316
Sylvia,,PADEN & BLETSCHER CONSTRUCTION INC,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,PAPICH CONSTRUCTION CO INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,"PARADIGM CONSTRUCTION MANAGEMENT, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,2/19/25,(DH) Check was sent last week.  Should be received any day.,DATE NEEDED
Sylvia,,PARAGON TREE CARE,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,PAVLETICH ELECTRIC,Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2025,April Invoices,,,,384
Josie,,"PCL INDUSTRIAL SERVICES, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/14/2025,Payment should go out 5/9/25 Per Elvia  (JS) 4/14/25,,,,401
Sylvia,,PIPE & PLANT SOLUTIONS INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,6/2/2025,"emailing Alisha regarding March-28 invoice, reqesting payment information waiting for reply, also calling no answer, (sylvia 6-2-25)",,4/2/25,(DH) Reached out again on the 31-60; 61-90,352
Josie,,PISTOL PETE'S PLUMBING,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,PONDEROSA,Active,Contacted,COLLECTION TEAM,WEEKLY,11/19/2025,"calling A/P just to make sure Nov invoces were received, not answer",,,,182
Josie,,"PONDEROSA ELECTRIC, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,7/18/2025,"Dale said he will be in the office at ten am this morning I will call him then. Dale emailed back said to call him today for payment I responded to his emil 
Dale  Paid with Credit Card  Total balance gave to Victoria to charge 
 credit card went through emailed credit card receipt to Dale ",,05.07.2025,Called and Left a message for Dale on 05.07.2025 and 05.06.205; he has not returned my call. (Ashley),306
Josie,,"PR CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,10/27/2025,Marha does not anything emailed invoice to Martha I sent worng email last week ,,,,205
Josie,,PRASAYUS CORP. DBA COUNTRYSIDE CONSTRUCTI,Active,Contacted,COLLECTION TEAM,WEEKLY,11/24/2025,"Danish email back, said for me to email her all open invoices her accounting is under a new transittion role. she will let me know ones payment comes through.",,,,177
Sylvia,,"PROFESSIONAL PLUMBER, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,Sacramento ,"QUEST MEDIA & SUPPLIES, INC",Active,Contacted,COLLECTION TEAM,WEEKLY,4/15/2026,Paid ,,,,35
Sylvia,,"R. H. KIGGINS CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,12/30/2025,"Gaoger replied, asking if more invoices, email her a credit invoice, ",,,,141
Sylvia,Visalia,RC PACIFIC CONSTRUCTION INC,Active,Contacted,COLLECTION TEAM,WEEKLY,4/7/2026,"talk to Tamara, invoice received, March-21",,1/7/2025,"12/7, 12/14, 12/21,12/28 invoices current (visalia)",43
Sylvia,,RDA CONSTRUCTION (CASH),Active,Contacted,COLLECTION TEAM,WEEKLY,7/22/2025,no communication,,,,302
Josie,,REDDIG EXCAVATION,Active,Contacted,COLLECTION TEAM,WEEKLY,3/11/2026,"Went to Victoria to make sure what is owed is correct Victoria looking over 
Emailed statment  for STS waiting on response TCS Victoria cleared open balance ",,7/23/24,(Seth)talked to ross he is sending to his ap to get payed asap.,70
Sylvia,,RIVAL WELL SERVICES,Active,Contacted,COLLECTION TEAM,WEEKLY,7/24/2025,(lui) custommer finally replied . will get it paid. customer not answering. need to write-off not worth sending to collection agency ,,,,300
Sylvia,,RMC CONSTRUCTORS,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,ROSAMOND COMUNITY SERVICES DISTRICT,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,ROW CROP LLC,Active,Contacted,COLLECTION TEAM,WEEKLY,6/10/2025,"(sylvia 6-10-25) emailed Shannon open balance & invoice, May-17 invoice _shannon reply ACH payment tomorrow $11,960.00",,,,344
Josie,Fresno ,"RUBIK BUILT, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,4/1/2026,Kenna said they should be getting funding in a few weeks Said Sherrie is AP said to email her  emailed both invoices ,,,,49
Josie,,RUSSELL PACIFIC LLC,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"S & B SONS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,6/20/2025,Customer is paying this week for invoices. Check in Monday if we have not seen anything. 04/09/2025 Sent out a reminder email regarding payment. They told us they sent a check out on 04/02/2025 but we have not seen it yet. LU,,10-07-24,,334
Josie,,S.A. CAMP PUMP COMPANY,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,S.C. ANDERSON INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,S.E.T. SERVICES,Active,Contacted,COLLECTION TEAM,WEEKLY,7/16/2025,"talk to Scott, $108.00 Ck-5589 Payment out last week for the June-7 invoice",,,,308
Josie,,"SAI JASSAR INVESTMENTS, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,SAN GABRIEL VALLEY WATER COMPANY,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,San Joaquin Valley Air Pollution Control,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,SANDOVAL CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,7/15/2025,Emailed  asking for proof that she paid 00088941,,,,309
Josie,,"SAZAMA CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,SBI PARKING LOT & HIGHWAY IMPROVEMENT,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,SEA POINTE ESTATES HOMEOWNERS ASSOCIATION,Active,Contacted,COLLECTION TEAM,WEEKLY,7/14/2025,Called no answer emailed asking for check # waiting on response recevied email stating she is out of office ,,,,310
Lui,,"SECURITY PAVING COMPANY, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/13/2026,requested update on payment ,,,,37
Sylvia,,SEFNCO COMMUNICATIONS COMCAST,Active,Contacted,COLLECTION TEAM,WEEKLY,10/21/2025,will receive payment in 10 days,,,,211
Sylvia,,SEFNCO COMMUNICATIONS COMCAST (BAKERSFIEL,Active,Contacted,COLLECTION TEAM,WEEKLY,10/21/2025,will receive payment in 10 days,,,,211
Sylvia,,SEFNCO COMMUNICATIONS COMCAST (VISALIA),Active,Contacted,COLLECTION TEAM,WEEKLY,10/21/2025,will receive payment in 10 days,,10/02/24,(visalia per matt this was debriefed on 9/12. We should see payment for this 45 days from then sometime around the last week of October.),211
Josie,,SELMA SIKH PARADE (CC REQUIRED),Active,Contacted,COLLECTION TEAM,WEEKLY,10/31/2025,Said not to call them they are going to give them a bill when done with prade ,,,,201
Josie,,"SHARPLINE SOLUTIONS, INC",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,(SETH) John promised to have an email to me tonight with updates.,DATE NEEDED
Josie,,"SHOFFEIT PIPELINE, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,2/12/2026,Emailed asking for update waiting on reply ,,,,97
Sylvia,,SIENNA CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,7/24/2025,(lui) customer not answering. sending to collections. ,,,,300
Josie,,SIERRA RUNNING COMPANY DBA 2 CITIES MARAT,Active,Contacted,COLLECTION TEAM,WEEKLY,11/5/2025,Hammer Said not to call them they are going to pay,,,,196
Josie,,"SNELSON COMPANIES, INC",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,SO CAL GAS,Active,Contacted,COLLECTION TEAM,WEEKLY,7/25/2025,requested update on past due invoice ,,,,299
Josie,,SOLV ENERGY LLC,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
